City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Marsh Harbour,BS,81.59,clear sky,26.5412,-77.0636,Abaco Beach Resort
127,Kieta,PG,84.13,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
130,Lannion,FR,79.34,scattered clouds,48.75,-3.4167,Hotel Arcadia
132,Arraial Do Cabo,BR,69.19,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
133,Tura,IN,80.85,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
134,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
136,Xunchang,CN,76.23,overcast clouds,28.4543,104.715,Jiabin Inn
137,Lincoln,US,79.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
139,Mount Vernon,US,80.22,broken clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
141,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
142,Verkhniy Baskunchak,RU,73.71,broken clouds,48.2256,46.7217,Kombat
145,Pradopolis,BR,64.58,broken clouds,-21.3594,-48.0656,Palace Hotel - Pradópolis
146,Norman Wells,CA,64.44,broken clouds,65.282,-126.8329,Heritage Hotel
147,Roma,US,71.08,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
149,Zhicheng,CN,86.54,broken clouds,30.2956,111.5047,Wangjiang Building
150,Thompson,CA,64.56,scattered clouds,55.7435,-97.8558,Burntwood Hotel
152,Port Blair,IN,85.55,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
153,Bengkulu,ID,84.49,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Dwarka,IN,83.23,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
155,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
157,Torbay,CA,65.17,broken clouds,47.6666,-52.7314,Gallows Cove
160,Gigmoto,PH,86.92,broken clouds,13.7796,124.39,Cj's Travellers Inn
161,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
162,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
163,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
164,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
165,Penzance,GB,65.08,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
166,Zeya,RU,73.35,light rain,53.75,127.2667,Kapital Inn
167,Port Elizabeth,ZA,60.31,clear sky,-33.918,25.5701,39 On Nile Guest House
170,Amahai,ID,77.23,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
171,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
172,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
175,Bykovo,RU,60.53,clear sky,55.6361,38.0803,Around the world
179,Faya,SA,77.52,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
183,Loubomo,CG,63.88,few clouds,-4.1997,12.6739,La Dolisienne
184,Waddan,LY,74.7,clear sky,29.1614,16.139,محل الشريف محمد العايب
185,Villa Union,MX,84.9,broken clouds,23.2,-106.2333,My Fantasy Auto-Hotel
186,Adeje,ES,79.11,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
188,Pangai,TO,75.31,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
189,Tukrah,LY,79.16,clear sky,32.5341,20.5791,Lagrota restaurant
193,Berlevag,NO,64.2,clear sky,70.8578,29.0864,Kvitbrakka
194,Tambura,SS,67.35,overcast clouds,5.6,27.4667,Rikito Lodge
197,Broome,US,71.85,overcast clouds,42.2506,-75.833,Chenango Valley State Park
198,Jumla,NP,74.8,broken clouds,29.2747,82.1838,Royal Garden Hotel
200,Hay River,CA,67.98,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
201,Machilipatnam,IN,88.34,overcast clouds,16.1667,81.1333,R&B Bungalow
202,Susuman,RU,81.1,overcast clouds,62.7833,148.1667,Susumanzoloto
203,Bose,IT,74.84,clear sky,45.4612,8.0137,Locanda Borgo Antico
204,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
205,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
208,Newark,US,78.93,scattered clouds,40.7357,-74.1724,"Robert Treat Hotel, BW Premier Collection"
210,Mezhdurechensk,RU,60.24,light rain,53.6942,88.0603,Apartments Mezhdurechensk
211,Zhuanghe,CN,84.22,scattered clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
213,Ilheus,BR,68.86,broken clouds,-14.7889,-39.0494,Barravento Hotel
214,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
216,Tondi,IN,88.3,broken clouds,9.7333,79.0167,Star Lodge
217,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
219,Sept-Iles,CA,61.32,broken clouds,50.2001,-66.3821,Comfort Inn
220,Villanueva,HN,78.04,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
222,Vilhena,BR,65.3,clear sky,-12.7406,-60.1458,Hotel Mirage
224,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
225,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,Le four à pain
232,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
233,Jadu,LY,70.11,clear sky,31.953,12.0261,امياس للصرافة
237,Ternate,ID,79.65,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
239,Axim,GH,74.91,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
240,Harper,LR,74.05,light rain,4.375,-7.7169,Screensaver
241,Ozu,JP,80.22,heavy intensity rain,33.5,132.55,HOTEL FOREST
242,Carutapera,BR,74.05,scattered clouds,-1.195,-46.02,Lidera
243,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
244,Xining,CN,72.81,clear sky,36.6167,101.7667,Super Leisure Hotel
246,Kondinskoye,RU,75.94,clear sky,59.6481,67.41,Gostinitsa
247,Ochamchira,GE,71.89,heavy intensity rain,42.7121,41.4721,Resort on Papaskiri 76
248,Gizo,SB,83.97,broken clouds,-8.103,156.8419,Imagination Island
250,Caravelas,BR,69.37,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
251,Casablanca,MA,71.82,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
252,Peace River,CA,70.11,broken clouds,56.2501,-117.286,BCMInns - Peace River
255,Sorong,ID,81.5,broken clouds,-0.8833,131.25,Waigo Splash Hotel
256,Hastings,GB,72.9,clear sky,50.8552,0.5729,Zanzibar Hotel
258,Guerrero Negro,MX,70.54,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
260,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
261,Hithadhoo,MV,81.99,moderate rain,-0.6,73.0833,Scoop Guest House
262,Vila Velha,BR,66.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
265,Lasa,IT,65.35,few clouds,46.6166,10.7002,Pension Feldgärtenhof
268,Ust-Tsilma,RU,75.87,broken clouds,65.441,52.1498,U Praskov'i
269,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
270,Hobyo,SO,77.29,broken clouds,5.3505,48.5268,Iftin hotel hobyo
271,Sola,VU,80.78,scattered clouds,-13.8833,167.55,Leumerus Bungalows
273,Bull Savanna,JM,75.7,overcast clouds,17.8868,-77.5902,Big Red's
274,Marmashen,AM,74.08,few clouds,40.8349,43.7779,Rancho Alexandrapol
277,Hasaki,JP,82.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
279,Griffith,US,77.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
280,Maramba,TZ,60.15,broken clouds,-5.05,38.6167,Amani Eagles Nest
281,Sinnamary,GF,76.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
282,Cavalcante,BR,64.29,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
283,Peniche,PT,65.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
284,Banda Aceh,ID,85.35,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
285,Pringsewu,ID,88.88,few clouds,-5.3582,104.9744,Urban Style by Front One
287,La Ronge,CA,70.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
290,Chokwe,MZ,63.34,clear sky,-24.5333,32.9833,Complexo Sonho Real
294,Caucaia,BR,78.75,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
295,Hervey Bay,AU,70.02,few clouds,-25.2986,152.8535,Shelly Bay Resort
296,Keti Bandar,PK,85.86,broken clouds,24.1447,67.4497,Haji laloo memon house
297,Sretensk,RU,84.92,clear sky,52.2453,117.7093,"""Shustovskaya"""
298,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
300,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
301,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
302,Mikuni,JP,84.11,moderate rain,36.2171,136.1519,Seifuso
304,Galle,LK,83.12,broken clouds,6.0367,80.217,Amangalla
305,Itaituba,BR,78.15,overcast clouds,-4.2761,-55.9836,Hotel Campos
307,Forfar,GB,63.75,overcast clouds,56.6431,-2.8903,Rose Villa Bed & Breakfast
311,Jurilovca,RO,70.03,broken clouds,44.7667,28.8667,Suvenir din Dobrogea
313,Benguela,AO,66.29,clear sky,-12.5763,13.4055,Hotel Praia Morena
314,Tigil,RU,70.5,few clouds,57.8,158.6667,Tigil'
315,Tandalti,SD,76.46,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
316,Atherton,GB,75.88,overcast clouds,53.5237,-2.4935,The Mercury Motel
317,Acari,PE,64.87,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
320,Port Alfred,ZA,62.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
321,Baruun-Urt,MN,80.67,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
322,Abong Mbang,CM,66.29,overcast clouds,3.9833,13.1833,Auberge Angle Sur
323,Ponta Do Sol,PT,69.71,clear sky,32.6667,-17.1,Hotel do Campo
324,Bowen,AU,71.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
327,Kokopo,PG,85.84,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
330,Show Low,US,72.14,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
331,Dodge City,US,82.65,clear sky,37.7528,-100.0171,Windsor Inn & Suites
333,Pemba,MZ,72.3,scattered clouds,-12.974,40.5178,Guesthouse Samotina
335,Tricase,IT,74.55,broken clouds,39.9304,18.3553,Hotel Adriatico
336,Naduvattam,IN,64.89,overcast clouds,11.4833,76.5667,"United-21 Paradise, Ooty"
340,Kushima,JP,86.63,broken clouds,31.4583,131.2333,Hanaoka
343,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
346,Billings,US,72.28,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
348,La Grande,US,61.23,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
349,Victoria,HK,89.65,overcast clouds,22.2855,114.1577,Mini Central
350,Soller,ES,78.03,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
352,Corinto,GR,79.9,clear sky,37.9407,22.9573,Ephira Hotel
353,Mawlaik,MM,89.8,overcast clouds,23.6333,94.4167,AKZ Guest House
355,College,US,61.59,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
356,Fort-Shevchenko,KZ,85.53,clear sky,44.5086,50.263,Oasis hotel Bautino
357,Mogadishu,SO,76.46,light rain,2.0371,45.3438,Hotel Juba
358,Cayenne,GF,76.08,fog,4.9333,-52.3333,Hôtel Le Dronmi
360,Rive-De-Gier,FR,75.13,scattered clouds,45.5307,4.6213,B&B Ebeniste
362,Tabou,CI,73.96,overcast clouds,4.423,-7.3528,hotêl doufoulougou
365,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
368,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
369,Charters Towers,AU,74.12,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
370,Nizhniy Kuranakh,RU,74.32,light rain,58.8353,125.4869,Park Pobedy
371,Lorengau,PG,80.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
373,Moanda,GA,68.23,broken clouds,-1.5575,13.2178,Heliconia Stadium Moanda
374,La Romana,DO,77.4,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
375,Vao,NC,72.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
377,Guiratinga,BR,64.36,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
379,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
380,Talnakh,RU,67.21,broken clouds,69.4865,88.3972,Talnakh Hotel
381,Biak,ID,78.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
388,Buala,SB,84.7,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
389,Matamoros,MX,83.39,scattered clouds,25.5333,-103.25,Quinta Belem
390,Tismana,RO,66.63,few clouds,45.05,22.9667,"Agro-pensiunea ""Plaiul Castanilor"""
391,Hamilton,US,72.72,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
392,Sao Sebastiao,BR,68.49,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
393,Pionerskiy,RU,63.75,overcast clouds,54.9508,20.2275,Baltica Pension
395,Bhatkal,IN,80.15,overcast clouds,13.9667,74.5667,Nilawar Palace
398,Nara,JP,83.57,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
400,Leh,IN,71.53,few clouds,34.1667,77.5833,Hotel Ladakh Greens
401,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
402,Dingle,PH,83.91,light rain,10.9995,122.6711,SEGAYA PROPERTY
403,Margate,GB,72.7,clear sky,51.3813,1.3862,Premier Inn Margate hotel
404,Tazovskiy,RU,62.02,few clouds,67.4667,78.7,TazHostel
405,Casa Nova,BR,70.7,scattered clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
406,Tibiri,NE,75.85,broken clouds,13.5627,7.0485,FADA GAO FA TIBIRI
408,Kaberamaido,UG,67.93,overcast clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
411,Pontianak,ID,89.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
413,Lagoa,PT,68.23,overcast clouds,39.05,-27.9833,Casa Das Faias
416,Paraiso,CR,68.88,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
417,Wilmington,US,82.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
421,Bojnurd,IR,85.95,clear sky,37.4747,57.329,Hotel negin bojnourd
422,Nuevo Progreso,MX,80.55,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
423,Ponta Delgada,PT,73.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
426,Fare,PF,76.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
427,Saint Anthony,US,82.9,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
428,Touros,BR,74.44,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
430,Floriano,BR,70.86,clear sky,-6.7669,-43.0225,Hotel Maktub
431,Tutoia,BR,77.13,few clouds,-2.7619,-42.2744,Pousada Guará's
432,Ahome,MX,81.57,broken clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
433,Birin,NP,69.94,overcast clouds,26.8865,88.0718,Sun Hotel & Lodge
435,Tommot,RU,81.79,light rain,58.9564,126.2925,Gostinitsa Tommot
438,Anloga,GH,75.56,broken clouds,5.7947,0.8973,Pin Drop Hotel
441,Palu,ID,88.25,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
443,Zongolica,MX,65.73,overcast clouds,18.6667,-96.9833,"Hotel Posada ""Sol y Luna"""
444,Hudson Bay,CA,65.16,overcast clouds,52.85,-102.3842,Norwood Motel LTD
446,Nouadhibou,MR,67.98,scattered clouds,20.931,-17.0347,El Medina
449,Kendari,ID,78.76,overcast clouds,-3.945,122.4989,Hotel Wixel
451,Slusovice,CZ,66.61,scattered clouds,49.2478,17.8015,Penzion Parkur Hrobice
452,Beysehir,TR,65.03,overcast clouds,37.6773,31.7246,Anatolia Boutique Hotel Penta
453,French Harbor,HN,82.4,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
454,Xai-Xai,MZ,63.64,clear sky,-25.0519,33.6442,Complexo da Familia
455,Katsuura,JP,78.82,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
456,Takehara,JP,78.84,fog,34.3383,132.9167,Green Sky Hotel Takehara
457,Son La,VN,87.85,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
458,Bandarbeyla,SO,80.51,overcast clouds,9.4942,50.8122,JABIR HOTEL
